unb;pdv
734004;20510
734004;19279
734004;16342
1016261;1068
1016261;646
1016261;2130
1016261;1056
734004;18538
1016261;2041
1016261;1337
1016261;1275
734004;20969
734004;90677
734004;16567
734004;11238
734004;15292
734004;15751
992453;3946
992453;5034
992453;5833
1016261;1202
1016261;1247
734004;6025
734004;15077
734004;21623
734004;8809
1016261;577
1016261;684
734004;8274
1016261;951
734004;81915
1016261;953
1016261;74
734004;15742
734004;9471
734004;17814
734004;19464
734004;97458
1016261;1777
1016261;1493
734004;6537
734004;99003
1016261;266
1016261;1953
1016261;832
1016261;181
734004;1885
734004;7635
734004;22161
734004;81504
734004;95167
1016261;511
1016261;574
734004;8680
734004;20312
1016261;1483
734004;17988
734004;528
734004;15128
992453;2539
992453;6561
1016261;1067
1016261;139
542644;15369
542644;18816
542644;46234
542644;76915
542644;78134
1716000;14242
669610;2035
542644;63736
1716000;94658
987280;19462
542644;71590
542644;76739
542644;89875
542644;91112
542644;92977
1716000;15028
542644;10178
987280;639
987280;20016
1716000;12456
987280;5232
987280;13076
987280;8410
987280;10312
542644;27126
542644;56684
987280;20387
987280;5025
1716000;90697
987280;19032
542644;21008
987280;9429
542644;49480
542644;19516
542644;51544
542644;70556
542644;24162
542644;26962
542644;78308
542644;85900
542644;11405
1716000;510
1716000;15255
1716000;15338
1716000;13080
1716000;94467
542644;87673
542644;11013
987280;13147
987280;9910
996122;97703
542644;30363
542644;42064
542644;89198
741795;6238
987280;18371
542644;17673
542644;49991
987280;8352
987280;9973
542644;24644
542644;89523
542644;3129
542644;41222
542644;11969
542644;24398
542644;90224
1716000;16041
1716000;20059
987280;1625
542644;41580
987280;5512
987280;10453
542644;10901
542644;79802
542644;46554
542644;79272
1716000;79625
1716000;94176
542644;15374
542644;18458
542644;34324
542644;72324
542644;74410
542644;74425
987280;18954
987280;20535
542644;80832
542644;93611
542644;55219
1716000;14926
1716000;15281
1716000;15534
542644;3082
542644;34716
542644;59784
542644;63552
542644;79230
542644;79417
542644;67884
542644;88482
542644;99364
1716000;12185
669610;51432
741795;5843
542644;6735
542644;14879
606634;97025
987280;7535
542644;14890
542644;54522
542644;74189
987280;19546
542644;25171
542644;39403
600741;82755
741795;5973
669610;50949
741795;1600
542644;20221
542644;63384
987280;19612
996122;96063
1716000;17607
1716000;93218
542644;13236
1716000;8036
542644;16081
600741;990
987280;18849
987280;19989
542644;25258
987280;4406
987280;3553
1716000;90303
987280;8037
669261;3143
1716000;12369
987280;19288
987280;18672
987280;5051
987280;18187
542644;93912
1716000;91704
542644;13157
542644;9944
987280;9127
542644;3212
542644;7982
542644;17007
542644;25189
542644;78779
542644;87825
542644;87999
542644;88120
741795;5183
741795;51572
987280;13205
542644;15596
542644;53006
542644;75232
542644;3752
542644;28532
542644;56518
542644;88879
1716000;17030
1716000;1690
1716000;8277
1716000;10904
542644;78939
542644;86766
542644;24211
542644;46935
669610;2039
987280;12731
987280;9671
987280;886
987280;19646
741795;2855
542644;95496
542644;19202
542644;45235
987280;19393
1716000;19201
1716000;90898
542644;47747
741795;2601
542644;341
542644;34365
542644;82892
542644;85968
987280;5231
542644;20205
542644;87901
542644;34306
542644;36879
542644;58774
1716000;11822
542644;46225
542644;46471
542644;86285
542644;7749
542644;71330
987280;10283
542644;36177
669261;4087
1716000;13647
987280;4159
987280;19370
1716000;12976
542644;55485
542644;72586
987280;6337
987280;9207
987280;12042
1716000;16328
987280;6487
987280;10605
542644;11376
542644;79344
669610;1429
1716000;18705
1716000;80925
542644;32169
987280;6326
741795;2479
542644;47824
542644;37454
542644;79614
542644;81061
542644;84954
741795;2573
987280;19216
542644;53135
1716000;17397
542644;6624
542644;70898
600741;85681
542644;12148
1716000;14966
987280;1178
987280;20548
542644;89501
542644;99192
987280;9060
542644;74314
542644;73195
542644;12085
987280;6102
987280;5032
987280;6869
987280;11944
1716000;6267
1716000;18725
542644;68208
542644;6227
542644;25017
542644;40561
542644;97896
1716000;46
1716000;11576
542644;12821
1716000;368
542644;4347
542644;44051
542644;1909
542644;8692
542644;20729
542644;32020
542644;35772
542644;58448
542644;58575
542644;87887
987280;18342
987280;10054
542644;89881
987280;1882
987280;8808
542644;98341
1716000;15173
1716000;19225
987280;18814
1716000;5347
1716000;15041
542644;1109
987280;2010
1716000;15145
542644;1842
542644;7579
741795;5427
987280;2563
542644;19245
1716000;79271
542644;5014
542644;23090
987280;12438
542644;37159
542644;93733
542644;47555
987280;4913
987280;18563
987280;8754
542644;65370
1716000;12826
1716000;17966
987280;5708
1716000;12374
542644;4205
669610;4510
987280;11999
1716000;90144
542644;66555
542644;77747
542644;33986
542644;53917
542644;57481
542644;99459
669610;5131
1716000;18112
542644;18544
542644;46676
542644;94399
542644;79233
1716000;13637
542644;19461
542644;20784
542644;79657
542644;87530
542644;83571
606634;94242
1716000;91332
542644;42919
1716000;12766
996122;97818
1716000;93517
542644;10419
542644;16827
542644;28024
542644;3016
542644;89953
1716000;94721
542644;13758
542644;18279
542644;20311
542644;88182
542644;92479
542644;1610
741795;60310
987280;10279
987280;8157
542644;14920
542644;2688
542644;21290
542644;51549
542644;1193
1716000;15578
542644;71551
542644;20306
542644;88707
1716000;6302
1716000;12967
542644;86219
542644;88335
542644;90582
987280;12505
987280;18856
542644;17161
1716000;11574
1716000;12994
542644;9313
542644;48654
542644;80320
542644;27070
542644;86293
669261;5003
669610;4497
542644;37698
987280;19946
987280;120
987280;18392
542644;49577
542644;4977
542644;16395
542644;39166
542644;93507
606634;96209
542644;15052
542644;45561
542644;46795
542644;55185
1716000;15295
542644;22040
542644;77849
542644;87848
987280;7238
542644;13413
987280;10939
1716000;11670
542644;24985
987280;12684
987280;12513
542644;10565
542644;11767
542644;14238
542644;30336
542644;48420
542644;77496
1716000;13648
987280;18963
987280;18494
542644;90356
987280;20470
542644;22571
1716000;14313
987280;5665
987280;9089
987280;18141
542644;41803
542644;11377
542644;26667
542644;45490
606634;94101
1716000;17371
542644;21606
542644;85853
542644;90881
1716000;4541
987280;18670
987280;18769
987280;5217
1716000;18814
1716000;14208
1716000;17338
1716000;92901
987280;10762
542644;13760
987280;2805
741795;691
1716000;18945
542644;49928
542644;50848
606634;94486
542644;37271
542644;17482
987280;793
542644;71749
542644;89253
542644;94809
1716000;19094
1716000;81006
987280;14032
1716000;18816
741795;40620
987280;9878
542644;12394
542644;92740
669610;2364
669610;5299
1716000;14536
987280;20332
1716000;13271
987280;20463
1716000;14319
542644;11342
542644;13081
987280;12920
542644;89369
669610;4573
1716000;14744
1716000;16274
600741;80884
542644;20482
542644;94397
542644;22171
542644;90689
606634;95940
542644;88230
542644;92408
606634;94636
542644;92591
542644;96226
600741;2458
542644;2859
542644;46041
542644;77989
542644;89614
987280;9694
1716000;16595
542644;24450
542644;24756
542644;46280
542644;50270
542644;82234
542644;88572
1716000;15184
542644;26237
542644;89998
542644;92465
542644;93324
606634;97264
987280;11359
987280;19211
542644;11726
542644;25405
542644;50989
542644;51814
542644;87950
987280;19680
1716000;16985
542644;969
542644;48254
542644;49433
542644;52008
542644;89554
606634;97274
987280;8228
542644;65849
542644;89762
542644;92044
606634;97086
542644;21109
542644;29513
542644;48480
542644;88452
741795;7
987280;9780
987280;10406
542644;19421
542644;52197
542644;98210
542644;99767
1716000;92065
1716000;98026
542644;18553
542644;88471
542644;92729
987280;7682
1716000;1710
1716000;12051
542644;9845
542644;48632
542644;55952
542644;58191
542644;65696
987280;9517
1716000;16822
542644;139
542644;2575
542644;54965
741795;2360
987280;11439
1716000;15132
542644;33837
542644;45460
542644;54905
542644;56529
987280;8910
987280;18774
542644;46122
1716000;16664
542644;3999
542644;27852
542644;78116
987280;8919
1716000;19001
542644;41156
542644;88560
600741;2579
741795;2938
987280;5111
1716000;16025
542644;48125
542644;64065
542644;86014
669610;731
741795;60953
1716000;10522
1716000;11383
542644;34457
542644;45939
542644;51686
542644;62980
542644;77721
600741;1782
741795;2894
987280;19233
1716000;19278
542644;14201
542644;21474
606634;1708
669610;4578
987280;9617
542644;87748
542644;51066
542644;55337
542644;73861
542644;77582
542644;84985
542644;90321
987280;11033
542644;16184
542644;24500
542644;45667
542644;1512
542644;15270
542644;87780
987280;19539
542644;23083
542644;29659
542644;47836
542644;48482
542644;64012
542644;88327
542644;99206
542644;99317
542644;22188
542644;43487
542644;92360
741795;3969
542644;6532
542644;48385
542644;58838
741795;5156
987280;2182
542644;3760
542644;15106
741795;5491
987280;18036
987280;20204
542644;46387
542644;48621
669261;4905
741795;5987
542644;24089
987280;9090
542644;15014
669261;4390
542644;23035
542644;63477
542644;77488
542644;37756
542644;39212
542644;63018
542644;87456
600741;1344
669261;3226
669261;3633
542644;74215
1716000;18359
1716000;93341
542644;1067
542644;45213
542644;90262
542644;98207
542644;89446
987280;11472
542644;8323
542644;11025
542644;40315
542644;43328
542644;90253
669261;4572
669261;50490
542644;16578
542644;75693
542644;92382
741795;2359
542644;4418
542644;14729
542644;63886
542644;92346
542644;92419
542644;95352
542644;95639
669261;4069
542644;28150
542644;34417
542644;41961
542644;86643
741795;5750
542644;20557
542644;45618
606634;94034
669261;4929
987280;11548
987280;18967
996122;95853
542644;22621
542644;71709
542644;92959
669261;8993
1716000;14474
542644;22032
542644;89092
992461;289
992461;7165
992461;8577
992461;97429
992461;97930
992461;98517
992461;5726
992461;40141
992461;413
992461;40269
992461;30632
1131001;8916
992461;3359
992461;97069
992461;97851
992461;98582
992461;98814
992461;5199
992461;6979
1131001;8554
992461;2778
992461;6174
992461;1980
1131001;8527
992461;30447
992461;40132
992461;8314
992461;98412
992461;96598
992461;7480
992461;5589
992461;98200
992461;4307
992461;40075
376469;4311
376469;9872
703354;1113
376469;2203
376469;4362
495352;3375
376469;4399
376469;4841
376469;5099
376469;7532
495352;6178
703354;1657
376469;378
376469;620
376469;1148
376469;4602
376469;10433
376469;4813
376469;5014
495352;8395
376469;343
376469;8269
376469;10073
376469;2914
376469;5737
376469;7421
376469;235
376469;2312
376469;5041
376469;4896
376469;7551
613770;557
703354;2317
376469;4389
495352;6637
376469;5851
376469;3220
495352;963
376469;4803
495352;3035
376469;9113
703354;3442
376469;5941
376469;10079
376469;6077
495352;26
703354;3833
703354;3723
376469;6565
376469;1021
376469;5844
703354;2802
376469;4854
376469;4911
376469;9177
376469;8729
613770;739
495352;3383
376469;3371
376469;3706
376469;4149
495352;564
495352;4100
376469;678
703133;1975
703354;1973
703354;3696
376469;1785
495352;142
376469;2333
376469;5169
376469;10001
495352;9327
613770;147
703133;1357
495352;7838
495352;8482
703133;1869
376469;56
376469;4790
376469;6990
495352;6282
495352;4484
376469;6975
376469;4307
376469;2051
376469;5938
376469;4967
376469;7733
495352;505
376469;1429
376469;5123
495352;9106
376469;8641
703354;1521
376469;417
703133;3634
376469;2742
495352;4277
376469;1065
613673;65
495352;4930
376469;721
703354;1976
703354;183
376469;2438
703354;1411
376469;5681
495352;5398
495352;5695
495352;5233
376469;4895
376469;9511
703354;1515
703354;1720
376469;1223
376469;718
376469;9386
376469;10159
703354;1938
376469;1869
376469;4266
376469;2247
376469;4195
376469;4752
376469;7541
376469;8824
495352;4239
703354;1229
703354;3045
703354;371
376469;4235
376469;27
703354;1858
376469;4115
376469;5625
376469;7412
376469;7413
376469;7414
703354;880
376469;1822
376469;9498
376469;4572
376469;8471
376469;3918
495352;2700
703354;2770
376469;1266
376469;5518
495352;4998
376469;5084
495352;8364
376469;267
376469;7428
376469;7433
376469;8680
376469;9961
376469;5640
376469;6008
703354;2254
703354;2346
703354;1743
376469;1988
703354;2588
376469;6071
376469;5303
495352;6227
376469;392
613673;514
703133;2293
376469;2836
376469;131
376469;5053
703354;2735
376469;588
376469;10110
703354;1416
495352;8845
376469;1453
376469;4630
376469;9022
703354;3917
376469;10121
376469;870
703354;1936
376469;7706
703354;2082
495352;4342
703354;1264
376469;5050
376469;7857
495352;343
376469;9147
495352;1256
376469;5643
376469;6189
376469;8287
495352;8361
376469;1648
376469;3104
376469;6641
376469;8690
703354;2676
376469;7082
376469;7799
703354;592
703354;3342
376469;4314
376469;6510
376469;6588
495352;2472
495352;6962
376469;1486
376469;10163
376469;6824
703133;1296
376469;7374
376469;8647
376469;9186
495352;5184
613673;1661
703354;2028
376469;7910
376469;1247
376469;6698
703354;1166
703354;2706
376469;1818
376469;7547
376469;9460
495352;4373
703354;1917
376469;10252
376469;48
495352;1848
495352;6532
703354;1116
495352;8331
703354;3548
376469;6127
495352;1162
703354;2472
376469;10426
376469;5604
376469;8616
376469;4947
703354;2529
376469;121
376469;79
613673;4843
376469;5111
376469;7323
376469;9664
613673;3883
495352;4622
703354;1330
376469;1995
703133;1672
376469;4613
376469;8297
703354;2207
703354;3207
376469;8920
376469;9767
703354;2441
376469;2624
376469;4624
495352;6591
376469;5705
376469;9592
703354;1357
703354;3019
376469;799
376469;9295
376469;5129
703133;979
703354;1978
376469;232
376469;5270
376469;9712
376469;10183
703354;2351
376469;7664
703133;2301
376469;148
376469;4788
495352;3935
376469;4942
376469;9756
376469;7905
495352;7432
703133;193
495352;4867
376469;2952
376469;6609
376469;8958
703354;3750
376469;9351
613770;543
376469;4623
376469;8073
613673;899
613770;620
703354;2004
376469;6675
703354;3411
613673;819
495352;7093
703354;1627
495352;7800
376469;52
703133;123
376469;7202
376469;2637
376469;3165
376469;2861
703354;2279
495352;8561
703133;1322
703354;2490
376469;931
613673;1476
495352;5135
376469;6951
376469;4316
376469;2324
376469;1599
376469;3258
376469;3333
376469;9678
376469;6959
703133;1545
703354;2111
376469;5853
703354;566
376469;5390
495352;400
703354;3687
376469;5456
376469;6987
495352;7407
613673;589
703354;68
613673;4356
703354;116
613673;411
376469;4363
376469;7106
376469;9303
703354;1433
376469;8053
495352;4926
376469;485
703354;424
703354;2764
376469;10386
376469;2064
376469;5157
495352;6450
495352;7502
703354;2482
376469;402
376469;10365
376469;163
376469;10191
376469;3018
376469;3409
376469;6176
376469;6771
703133;214
703354;3012
703354;2433
376469;3993
376469;640
495352;4653
376469;5031
495352;7337
613770;251
703354;1093
376469;4946
376469;3194
376469;4826
376469;7208
376469;9069
376469;8159
495352;5079
376469;9086
495352;3908
703354;2292
376469;2698
376469;4968
703354;2513
703133;677
495352;4221
376469;5087
376469;10335
376469;8553
376469;7644
703354;2452
542644;24678
542644;36551
987280;12282
542644;6091
669261;4990
606634;97118
542644;4454
542644;75979
542644;99997
987280;20136
1716000;9687
542644;3234
542644;87448
542644;64090
542644;87149
600741;708
542644;92588
542644;24385
987280;18959
542644;20142
542644;42380
542644;87702
669610;4106
542644;39442
606634;97151
741795;5052
987280;2088
996122;94571
542644;78825
1716000;6008
542644;46556
542644;76315
669610;62237
741795;6445
1716000;80840
542644;20580
1716000;3785
542644;2512
542644;13272
669610;662
741795;3959
1716000;13027
542644;5510
606634;97336
542644;64437
741795;1296
542644;22899
542644;38013
542644;91663
741795;5178
542644;12750
1716000;10827
542644;42852
542644;52229
1716000;16534
1716000;19059
542644;93828
1716000;569
1716000;12778
542644;16612
1716000;14581
542644;11707
542644;47406
606634;93602
542644;7989
542644;21329
542644;22399
542644;82373
600741;85221
987280;18796
1716000;90591
542644;21489
542644;66641
542644;79314
669610;61590
996122;96087
542644;14727
542644;3050
542644;72016
1716000;13472
542644;60086
669261;3634
669261;51384
542644;51664
542644;88878
600741;3152
741795;6387
542644;89943
987280;2462
542644;62615
600741;96405
1716000;12800
600741;85214
741795;5870
1716000;14524
542644;26032
542644;92688
1716000;834
542644;20660
542644;81090
542644;25273
987280;9975
542644;38161
542644;41621
542644;63966
542644;4416
542644;43731
542644;45518
542644;88907
987280;19423
542644;21865
600741;1091
987280;8031
1716000;18493
542644;57645
987280;2134
1716000;14530
1716000;18832
542644;43819
669610;5200
987280;18652
542644;36151
987280;3866
542644;7909
542644;8106
542644;25776
542644;79461
542644;15247
542644;92710
741795;2707
669610;50909
1716000;92945
1716000;15015
542644;34668
542644;73065
1716000;18831
542644;4268
542644;23298
542644;95559
600741;2050
542644;16963
1716000;13951
669610;1027
1716000;17522
542644;25325
542644;44393
542644;92507
669261;5148
669261;97449
542644;16510
542644;45503
600741;96381
606634;97259
542644;84091
606634;93880
542644;47782
542644;63739
669610;5189
987280;19359
542644;13276
987280;19121
987280;2316
600741;2532
987280;2847
1716000;16902
542644;91356
542644;20075
606634;1383
542644;4262
542644;22019
1716000;6334
542644;54031
606634;90230
542644;2740
542644;78378
542644;75512
542644;6983
669261;5153
542644;13961
542644;47973
542644;62816
606634;94332
669261;5157
987280;18869
542644;22249
606634;97321
996122;1568
542644;24382
600741;86918
987280;18403
1716000;11308
542644;36945
542644;1848
542644;86087
741795;12721
542644;66944
542644;3175
542644;3659
542644;26400
1716000;17472
669610;5451
600741;2364
606634;97351
542644;33798
741795;6162
669261;8803
600741;5639
669610;5054
669261;5203
669610;62419
542644;98128
996122;97777
1716000;18993
600741;2469
542644;86039
542644;18439
606634;97104
741795;5023
1716000;20095
542644;63509
542644;74878
669261;4738
987280;11772
996122;97844
542644;2788
542644;5521
542644;22143
669610;83410
741795;6447
542644;95342
542644;25813
600741;911
1716000;10736
1716000;1631
1716000;17179
1716000;19036
542644;3054
987280;19873
542644;24277
600741;884
600741;5548
669610;2204
1716000;17999
669610;62239
1716000;14634
542644;2851
996122;97830
542644;92935
669261;5195
606634;93163
1716000;93414
669610;84398
542644;14656
606634;93825
1716000;92428
542644;79335
987280;2778
987280;20316
542644;36689
542644;4455
987280;19517
669610;5457
542644;72957
600741;5570
1716000;20042
1716000;778
542644;13591
542644;66524
987280;2894
1716000;5324
1716000;92500
1716000;99835
542644;92623
1716000;92572
542644;11912
542644;39250
542644;78507
542644;79894
542644;89191
542644;30673
542644;84152
542644;98805
606634;95860
669261;50050
542644;2849
542644;4294
741795;6406
542644;12082
542644;31254
542644;74408
741795;61421
606634;91240
542644;7797
987280;19941
542644;51009
542644;86338
741795;1374
542644;60821
542644;36832
542644;74464
600741;5628
542644;27724
1716000;12941
542644;3910
542644;88402
542644;12036
669610;99872
741795;4867
987280;7390
1716000;18630
724009;16213
724009;12406
724009;16617
724009;17528
724009;19731
992453;3204
1120000;3350
992453;6797
724009;8492
734004;17553
724009;16168
724009;4742
724009;17541
724009;7451
724009;13676
724009;51240
724009;17230
724009;17438
724009;51032
992453;4357
724009;7734
724009;51501
724009;19688
724009;5434
992453;2099
724009;19763
734004;13025
724009;16290
1120000;161
724009;5163
992453;4837
724009;18663
992453;6933
724009;4680
724009;16139
724009;17447
724009;19102
724009;19756
724009;17335
724009;17030
724009;17264
734004;21006
992453;6673
724009;19798
734004;98012
724009;14983
724009;19606
724009;16037
992453;6884
724009;50227
724009;16801
992453;6810
992453;5566
734004;92331
734004;90769
1120000;600
734004;22893
734004;10750
724009;5051
724009;18503
724009;17954
734004;98963
734004;18292
734004;22435
734004;5927
734004;15979
734004;20069
992453;6764
992453;4491
734004;19538
992453;6147
734004;21973
1016261;391
734004;17895
734004;1276
734004;96951
734004;7651
724009;16636
734004;9291
1016261;981
1016261;547
724009;4039
734004;12926
734004;81331
734004;16760
734004;4587
734004;17775
734004;21680
724009;51300
734004;96222
1016261;35
992453;6826
734004;20003
1016261;79
724009;1437
734004;9951
724009;18644
734004;21403
992453;2970
1016261;1467
1016261;85
724009;5621
734004;2301
734004;4629
734004;8586
734004;60013
734004;91368
734004;9451
992453;285
734004;9065
724009;7180
734004;5619
992453;6362
1016261;43
992453;6814
1016261;291
734004;6746
734004;22598
734004;97789
724009;7782
734004;21887
724009;16731
1016261;966
734004;15845
1016261;1455
734004;22248
1016261;2092
724009;16615
734004;82014
734004;9086
734004;18703
724009;19589
724009;50303
734004;11133
734004;81253
724009;9089
734004;22825
734004;2250
724009;1877
734004;6726
992453;5724
992453;6762
1016261;227
734004;5314
734004;21302
734004;20412
992453;1723
724009;19272
724009;19733
1120000;576
724009;16011
724009;51123
878928;4688
970751;5163
970751;5937
1017039;8250
295370;26670
323527;9542
295370;35898
323527;10861
970751;6536
323527;11941
878928;10491
878928;4580
878928;3374
1017039;8566
970751;5664
360384;21300
295370;28683
970751;1762
970751;1011
970751;1369
1863002;34943
1017039;8099
878928;13549
323527;11432
323527;6768
295370;31831
970751;2231
1863002;37513
970751;2133
1863002;32963
1863002;34099
295370;30903
878928;13775
295370;32838
1131001;5506
878928;12809
323527;10886
295370;34526
323527;11239
323527;18084
1863002;34052
1131001;8247
295370;29108
323527;18069
878928;2493
878928;2601
878928;5197
970751;5744
295370;24005
1131001;7011
323527;10116
360384;23792
1863002;29404
323527;11494
970751;5948
970751;6344
1017039;8004
1131001;4654
107000;8675
360384;20326
878928;3127
970751;6919
970751;3557
698008;30492
1863002;36638
1863002;37031
323527;18862
1863002;22559
1863002;37976
878928;4282
1017039;8389
970751;5521
1863002;36662
323527;11455
970751;7176
970751;6886
1863002;29810
970751;4632
970751;4812
970751;6754
295370;35571
878928;14040
360384;23128
970751;4266
878928;4180
970751;7175
599719;4148
1131001;8336
970751;6618
1131001;4944
1863002;35086
878928;4422
970751;6692
323527;17612
970751;6136
323527;10930
323527;18684
599719;1753
878928;13586
1017039;2738
323527;9491
295370;34350
970751;6295
970751;6853
970751;4151
1017039;9222
1017039;9243
360384;23551
970751;6806
323527;19123
323527;9047
1863002;34424
1017039;9175
1017039;98
970751;6071
295370;34849
107000;8913
970751;6857
1017039;4533
878928;4017
323527;11675
1863002;32222
1863002;32888
970751;7354
1863002;31616
323527;12266
970751;6470
323527;10581
878928;13197
878928;2275
295370;23184
1017039;7973
295370;32311
970751;832
1863002;36877
1863002;33285
970751;6714
323527;17468
1017039;8569
360384;23827
970751;1388
1017039;4280
295370;30314
878928;4686
323527;18312
970751;243
970751;5626
295370;35332
323527;2798
1863002;34870
1017039;8137
1017039;8254
295370;33634
295370;37380
295370;37524
1131001;7217
323527;16914
1863002;34832
970751;6682
323527;7372
360384;21026
878928;4277
1131001;8324
295370;7068
295370;29494
323527;140
1131001;159
878928;2118
1863002;37059
360384;25651
295370;30600
360384;25534
323527;16736
360384;25288
970751;6837
698008;30220
698008;30123
107000;4519
107000;10711
698008;23281
107000;4005
698008;24290
698008;30295
698008;25454
698008;48317
698008;3650
698008;19747
698008;30090
698008;31930
698008;18833
698008;32137
360384;24620
698008;27713
698008;8
698008;30188
698008;24736
698008;27972
698008;16119
698008;24814
698008;28986
107000;8904
698008;26347
698008;31908
698008;19066
698008;24689
698008;10300
107000;2922
698008;4440
698008;27531
698008;26909
698008;26202
698008;21332
698008;25347
698008;24800
698008;24969
698008;30344
698008;29674
107000;4582
698008;27162
698008;29662
107000;4009
698008;27548
698008;32447
698008;26452
698008;22782
698008;26855
698008;26189
107000;3412
107000;165
698008;17949
698008;28782
698008;31782
698008;28506
1320009;13591
1320009;20126
857890;385
1320009;7166
1320009;10614
857890;52455
1320009;15049
857890;51092
637858;90730
1320009;17732
637858;90531
1320009;10456
1320009;3018
1320009;4025
1320009;22826
1320009;7491
619132;79426
1320009;26869
1320009;13499
619132;70795
637858;91493
857890;102
1320009;14126
1320009;12657
1320009;15354
1320009;4459
1320009;20744
1320009;31933
1320009;2771
1320009;14623
857890;398
1320009;6329
637858;90970
1320009;98919
1320009;4187
1320009;9257
1320009;6480
619132;74126
1320009;15651
637858;94440
1320009;16843
1320009;5683
637858;91020
857890;51018
1320009;1089
857890;472
857890;46
1320009;14152
1320009;17208
1320009;6052
857890;187
1320009;10066
1320009;26314
857890;193
1320009;31284
619132;71134
619132;71915
1320009;9624
1320009;13577
1320009;6067
857890;325
1320009;4476
1320009;8902
613339;14358
857890;338
1320009;29013
857890;50052
1320009;3409
619132;70234
1320009;26001
1320009;9529
619132;70812
619132;70295
857890;50571
1320009;21388
1320009;12954
1320009;16516
619132;70256
1320009;12981
1320009;26386
619132;72370
857890;50145
1320009;16068
1320009;1944
1320009;10294
1320009;20231
1320009;23240
1320009;31221
637858;91285
1320009;23697
619132;71932
1320009;5531
619132;72203
1320009;3062
1320009;14030
1320009;7939
857890;407
1320009;2470
1320009;11884
857890;50144
637858;91849
1320009;6443
1320009;22657
1320009;25097
637858;91236
1320009;5833
1320009;21828
1320009;27437
1320009;8300
1320009;28417
857890;277
1320009;9978
637858;90620
1320009;9605
1320009;1785
1320009;12255
1320009;5252
619132;71520
1320009;23350
1320009;28051
1320009;10072
1320009;10668
1320009;5330
1320009;98689
613339;7588
1320009;4226
619132;73066
857890;51562
1320009;4967
857890;50385
637858;91774
857890;51316
637858;90063
1320009;26603
1320009;881
1320009;23716
1320009;21737
619132;70623
1320009;3765
1320009;25643
1320009;129
970751;6430
1320009;4920
698008;31757
970751;7299
619132;71283
619132;74065
107000;4872
323527;5776
295370;35532
698008;21811
107000;2303
970751;1498
698008;28912
970751;5932
323527;18576
323527;8435
970751;2905
295370;34847
295370;34990
698008;30302
637858;91945
698008;29561
878928;13607
295370;34938
295370;35504
107000;9419
323527;19328
619132;72219
698008;25494
360384;21890
107000;9050
698008;31693
878928;13019
857890;51336
1320009;9001
1320009;15408
295370;36718
1131001;9001
323527;12108
857890;276
295370;33831
1320009;25322
1131001;8330
1131001;8723
1017039;4141
698008;30115
970751;7320
698008;31011
878928;13577
